x,        y,         z,    speed,    acceleration,      cur,  cur_ch_r, time,    theta,          gear, s,          throttle, brake, steering
215740.013267, 2546216.54734, 27.8434010521, 7.10968160629, -0.161657705903, -0.0, 0.0, 1580910316.2297, -1.22389821742, 1, 1.43976472942, 0.0, 0.0, -0.0
215740.230573, 2546215.94641, 27.8444192261, 7.10968160629, -0.268042474985, -0.0, 0.0, 1580910316.3264, -1.22148238255, 1, 1.51086154549, 0.0, 0.0, -0.0
215740.497744, 2546215.21569, 27.8453869498, 7.08477878571, -0.3925319314, 0.0207288595901, 0.292583018004, 1580910316.4262, -1.20297657483, 1, 1.58170933334, 0.0, 0.0, 11.5096082687
215740.77612, 2546214.49539, 27.8460886395, 7.04689455032, -0.676613330841, 0.0395961606349, 0.267739227685, 1580910316.5265, -1.16440437978, 1, 1.65217827885, 0.0, 0.0, 21.9184188843
215741.049902, 2546213.85765, 27.8466326578, 6.98021507263, -1.03660345078, 0.0605539848751, 0.300246110215, 1580910316.6267, -1.11171828649, 1, 1.72198042957, 0.0, 0.0, 33.3330764771
215741.353807, 2546213.24032, 27.8469033686, 6.90695047379, 0.0961264446378, 0.0653806175466, 0.0698808061507, 1580910316.7264, -1.05309125136, 1, 1.79104993431, 0.0, 0.0, 35.9324111938
215741.621707, 2546212.75945, 27.8468673513, 6.8945941925, 0.0213370807469, 0.0470424506888, -0.265978915449, 1580910316.8265, -1.01487326634, 1, 1.85999587624, 0.0, 0.0, 25.9954566956
215742.056976, 2546212.05739, 27.8467164196, 6.89034461975, -0.0382722653449, 0.0268811835304, -0.292601724167, 1580910316.9263, -0.975681271459, 1, 1.92889932243, 0.0, 0.0, 14.9138746262
215742.401333, 2546211.54258, 27.8465991064, 6.88206148148, -0.105898708105, 0.0102624904866, -0.241478415857, 1580910317.0264, -0.9612196481, 1, 1.99771993725, 0.0, 0.0, 5.70319986343
215742.753348, 2546211.03428, 27.8465117151, 6.86405849457, -0.238875761628, -0.0118527536939, -0.322189040173, 1580910317.1266, -0.959993609319, 1, 2.06636052219, 0.0, 0.0, -6.58633422852
215743.222399, 2546210.3606, 27.8464781924, 6.83145809174, -0.47259542346, -0.0318523108515, -0.292756786166, 1580910317.2268, -0.979465123586, 1, 2.13467510311, 0.0, 0.0, -17.6580123901
215743.526511, 2546209.91028, 27.8465390725, 6.78243112564, -0.619898915291, -0.0513550182811, -0.287547445278, 1580910317.3265, -1.00632443509, 1, 2.20249941437, 0.0, 0.0, -28.3465232849
215743.95538, 2546209.22697, 27.8467610513, 6.70738506317, -0.90810585022, -0.0718184965198, -0.305088764787, 1580910317.4266, -1.06495053434, 1, 2.269573265, 0.0, 0.0, -39.3793334961
215744.278913, 2546208.64426, 27.8468189077, 6.67984390259, -0.156177252531, -0.0534298308684, 0.275285858765, 1580910317.5264, -1.11966291888, 1, 2.33637170403, 0.0, 0.0, -29.47473526
215744.543593, 2546208.10577, 27.8467034001, 6.67984390259, 0.0288685951382, -0.0534298308684, 0.0, 1580910317.6263, -1.15829892337, 1, 2.40317014305, 0.0, 0.0, -29.47473526
215744.839248, 2546207.43425, 27.8465709237, 6.67742156982, -0.005313124042, -0.0310069003502, 0.335802229704, 1580910317.7265, -1.18931226353, 1, 2.46994435875, 0.0, 0.0, -17.1917972565
215745.040583, 2546206.94033, 27.8465019087, 6.66987895966, -0.11869520694, -0.0113650270418, 0.294486203232, 1580910317.8267, -1.2000648624, 1, 2.53664314835, 0.0, 0.0, -6.31550788879
215745.33947, 2546206.1755, 27.8450341639, 6.7889084816, 5.5108704567, -0.0, 0.167405807172, 1580910317.9265, -1.20327077938, 1, 2.60453223316, 100.0, 0.0, -0.0
215745.550218, 2546205.6288, 27.8433221327, 7.34005737305, -0.145681858063, -0.0, 0.0, 1580910318.0264, -1.20353392565, 1, 2.67793280689, 100.0, 0.0, -0.0
215745.867734, 2546204.80336, 27.8436792237, 7.37029695511, -0.202620461583, -0.0, 0.0, 1580910318.1262, -1.20409998916, 1, 2.75163577644, 0.0, 0.0, -0.0
215746.078379, 2546204.25448, 27.8444357701, 7.34868860245, -0.365940690041, -0.0163916798074, -0.223055849746, 1580910318.2287, -1.21104238751, 1, 2.82512266247, 0.0, 0.0, -9.10536670685
215746.335848, 2546203.56962, 27.845285533, 7.3128786087, -0.550184905529, -0.0362794552916, -0.271955498626, 1580910318.3267, -1.23428789006, 1, 2.89825144856, 0.0, 0.0, -20.0960102081
215746.599974, 2546202.8146, 27.8458951856, 7.27103281021, -0.0921152234077, -0.0348069556042, 0.0202515890915, 1580910318.4266, -1.27375311112, 1, 2.97096177666, 0.0, 0.0, -19.2857761383
